sheet,cell,text
ТЭПы,B2,Название проекта
ТЭПы,C2,Дербеневская набережная по калькулятору Саевой
ТЭПы,A3,Условия
ТЭПы,B4,Ценовая концепция
ТЭПы,C4,БИЗНЕС
ТЭПы,B5,Срок реализации проекта / мес
ТЭПы,D5,почему 4? В годах или месяцах?
ТЭПы,B6,срок покупки ЗУ 
ТЭПы,C6,3 кв 2025-4 кв 2025
ТЭПы,B7,срок получения РНС
ТЭПы,C7,4 кв 2025
ТЭПы,B8,Старт продаж
ТЭПы,C8,1 кв 2026
ТЭПы,B9,Завершение СМР без отделки
ТЭПы,C9,1 кв 2032
ТЭПы,B10,Ввод в эксплуатацию (это получение РнС?)
ТЭПы,C10,"30.09.2029;
01.03.2031;
01.07.2031;
01.10.2031"
ТЭПы,B11,Завершение продаж
ТЭПы,C11,4 кв 2033
ТЭПы,B12,Срок окончания ПФ
ТЭПы,C12,2 кв 2032
ТЭПы,B13,Кадастровая стоимость ЗУ
ТЭПы,D13,какая? После смены ВРИ? Или до? Как рассчитывать астоимость аренды?
ТЭПы,A14,ТЭПы
ТЭПы,B15,Площадь ЗУ / м2
ТЭПы,B16,Корпусность
ТЭПы,H16,как аренду считать?
ТЭПы,B17,Количество очередей
ТЭПы,B18,Этажность
ТЭПы,B19,Площадь проекта -  СПП (ГНС)
ТЭПы,E19,только наземная часть?
ТЭПы,B20,Площадь жилой застройки
ТЭПы,E20,только наземная часть? ГВС?
ТЭПы,B21,Площадь нежилой застройки
ТЭПы,E21,почему 8%? Всегда так или это какое то среднее значение?
ТЭПы,B22,Площадь Квартир (продаваемая?)
ТЭПы,B23,Площадь коммерции продаваемая
ТЭПы,B24,Лобби (не входит в продаваемую?)
ТЭПы,E24,что это? Как рассчитывается?
ТЭПы,B25,Клубная инфраструктура
ТЭПы,E25,что это? Как рассчитывается?
ТЭПы,B26,МОП под отделку+ ресепшн
ТЭПы,B27,Количество парковочных мест ЖК
ТЭПы,E27,средний 
ТЭПы,B28,Кол-во квартир
ТЭПы,E28,обеспеченность
ТЭПы,F28,это входит в норму? 
ТЭПы,B29,Площадь благоустройства
ТЭПы,E29,уточнить это доп благоустройство? в СМР не входит?
ТЭПы,B30,Внутриквартальный проезд
ТЭПы,E30,откуда нормативы?
ТЭПы,B31,Озеленение
ТЭПы,E31,откуда нормативы?
ТЭПы,B32,Зона наземной парковки
ТЭПы,E32,откуда нормативы?
ТЭПы,B33,Площадь застройки
ТЭПы,B34,Площадь подземной парковки
ТЭПы,B35,Продаваемая площадь
ТЭПы,B38,Квартирография - цены старта продаж
ТЭПы,B40,Типы квартир
ТЭПы,D40,S квартиры
ТЭПы,E40,S
ТЭПы,F40,кол-во
ТЭПы,G40,цена 1м2
ТЭПы,H40,Средний чек
ТЭПы,I40,Норматив
ТЭПы,J40,Машиноместа
ТЭПы,B41,Квартиры Тип 1 
ТЭПы,B42,Квартиры Тип 2 
ТЭПы,B43,Квартиры Тип 3 
ТЭПы,K44,как в ФМ
ТЭПы,B47,Типы прочих помещений
ТЭПы,D47,S коммерции
ТЭПы,E47,S
ТЭПы,F47,кол-во
ТЭПы,G47,цена 1м2
ТЭПы,H47,Средний чек
ТЭПы,B48,ПСН
ТЭПы,B49,Машиноместа
ТЭПы,B50,Прочие помещения
ТЭПы,A54,Основные оказатели 
Бюджет,A3,Доходы 
Бюджет,D3,Цена Средняя
Бюджет,E3,Площадь
Бюджет,F3,Выручка 
Бюджет,G3,Средий чек
Бюджет,C12,ИТОГО 
Бюджет,A15,Расходы 
Бюджет,D15,Расценка
Бюджет,E15,Объем 
Бюджет,B16,Правообладание 
Бюджет,C18,Юридические расходы на покупку
Бюджет,C19,Агентское вознаграждение
Бюджет,H22,от площади ГНС
Бюджет,B23,ПиР
Бюджет,H24,"уточнить у Елены расценку, перенести в раздел ""правообладание"" Это не ПИР"
Бюджет,H26,уточнить у Елены расценку
Бюджет,H29,уточнить у Елены расценку
Бюджет,B30,СМР
Бюджет,H31,какая единица изм? Уточнить как брать расценку и обем?
Бюджет,H32,объем изменила на продаваемую площадь (кв+ком)
Бюджет,H35,что обозначает объем (цифра 5 )?
Бюджет,H36,что обозначает объем (цифра 5 )?
Бюджет,C38,Устройство УДС
Бюджет,H39,сопутствующи
Бюджет,H41,объем изменила на продаваемую площадь (кв+ком)
Бюджет,H45,операц расходы из ФМ
Бюджет,C46,Тех Надзор 
Бюджет,B50,Коммерческие расходы
Бюджет,C51,Маркетинг
Бюджет,C52,Продажи 
Бюджет,B53,Налоги
Бюджет,C54,НДС
Бюджет,C55,Налог на прибыль 
Бюджет,B56,ПФ
Бюджет,C59,ИТОГО Расходы
Бюджет,C61,ФИНРЕЗ
Бюджет,C63,NPV
Бюджет,G63,"какой %, какой должен быть чтобы проект был эффективным?"
Бюджет,C64,IRR Рентабельность проекта 
Бюджет,C65,Собственный капитал 
Бюджет,C66,Рентабельность собственного капитала 
Бюджет,C67,Проектное финансирование
Бюджет,C68,Банковские расходы
Бюджет,C69,Себестоимость 1м2 
Бюджет,C70,Средняя стоимость старта продаж 
Бюджет,C71,Наценка
Бюджет,C73,Непрогнозтруемая выручка 
Бюджет,C74,Прогнозируемая выручка
Бюджет,C75,Дефицит чистой прибыли на момент РнВ
CF1,A1,Ед. изм. - тыс. руб.
CF1,C1,ПИР 30.06.27
CF1,F1,РнС
CF1,AB1,РнВ
CF1,AH1,конец продаж
CF1,A3,Кол-во дней
CF1,A4,Начало стройки
CF1,A5,Завершение стройки
CF1,A6,Раскрытие Escrow
CF1,A7,Год строительства
